Temp,SpO2,Heart_rate,Anomaly
28.9,0,0,FALSE
28.9,0,78,FALSE
28.9,89,78,FALSE
28.9,89,79,FALSE
28.9,89,79,FALSE
28.9,91,79,FALSE
28.9,91,82,FALSE
28.9,91,82,FALSE
28.9,91,91,FALSE
28.9,91,91,FALSE
28.8,91,91,FALSE
28.8,91,100,FALSE
28.8,92,100,FALSE
28.9,92,100,FALSE
28.9,91,100,FALSE
28.9,91,100,FALSE
28.9,92,100,FALSE
28.9,92,96,FALSE
28.9,93,96,FALSE
28.9,94,96,FALSE
28.9,94,89,FALSE
28.9,94,87,FALSE
28.9,94,86,FALSE
28.9,94,88,FALSE
28.9,95,88,FALSE
28.9,95,91,FALSE
28.9,96,91,FALSE
28.9,96,95,FALSE
28.9,97,95,FALSE
28.9,97,95,FALSE
28.9,97,95,FALSE
28.9,98,95,FALSE
28.9,98,95,FALSE
28.9,98,89,FALSE
28.9,98,89,FALSE
28.9,98,84,FALSE
28.9,98,84,FALSE
28.9,99,84,FALSE
28.9,99,84,FALSE
28.9,99,84,FALSE
28.9,98,84,FALSE
28.9,98,87,FALSE
28.9,96,87,FALSE
28.8,96,87,FALSE
28.8,96,87,FALSE
28.8,96,87,FALSE
28.8,95,87,FALSE
28.8,95,84,FALSE
28.8,95,84,FALSE
28.8,95,79,FALSE
28.8,94,79,FALSE
28.8,94,79,FALSE
28.8,93,79,FALSE
28.8,93,79,FALSE
28.8,93,81,FALSE
28.8,92,81,FALSE
28.8,92,83,FALSE
28.9,92,83,FALSE
28.9,92,83,FALSE
28.8,92,83,FALSE
28.8,92,83,FALSE
28.8,92,84,FALSE
28.9,92,84,FALSE
28.9,93,84,FALSE
28.9,94,84,FALSE
28.9,94,84,FALSE
28.9,95,84,FALSE
28.8,95,84,FALSE
28.8,95,85,FALSE
28.8,96,85,FALSE
28.8,96,85,FALSE
28.8,96,85,FALSE
28.8,97,85,FALSE
28.8,97,85,FALSE
28.8,97,85,FALSE
28.8,98,85,FALSE
28.8,98,88,FALSE
28.8,98,88,FALSE
28.8,98,87,FALSE
28.9,98,87,FALSE
28.9,98,80,FALSE
28.9,98,80,FALSE
28.8,98,80,FALSE
28.8,98,80,FALSE
28.8,97,80,FALSE
28.8,97,77,FALSE
28.8,98,77,FALSE
28.8,98,74,FALSE
28.8,98,74,FALSE
28.7,98,74,FALSE
28.7,98,74,FALSE
28.7,98,82,FALSE
28.7,98,82,FALSE
28.7,97,82,FALSE
28.7,97,82,FALSE
28.7,97,82,FALSE
28.7,96,82,FALSE
28.7,96,86,FALSE
28.7,96,86,FALSE
28.6,96,86,FALSE
28.6,96,89,FALSE
28.6,97,89,FALSE
28.6,97,87,FALSE
28.6,97,87,FALSE
28.6,97,90,FALSE
28.9,97,90,TRUE
28.3,98,90,TRUE
29,98,90,TRUE
29,98,90,TRUE
29.2,98,90,TRUE
28.7,97,90,TRUE
28.5,98,90,TRUE
28.7,98,90,TRUE
28.9,98,91,TRUE
28.3,98,91,TRUE
28.7,98,92,TRUE
28.7,97,92,TRUE
28.7,96,92,TRUE
28.7,97,89,TRUE
28.7,98,85,TRUE
28.7,98,85,TRUE
28.7,98,84,TRUE
29.1,98,84,TRUE
28.7,98,85,FALSE
28.7,98,85,FALSE
28.7,98,85,FALSE
28.7,98,85,FALSE
28.7,98,84,FALSE
28.7,98,84,FALSE
28.7,98,84,FALSE
28.7,98,86,FALSE
28.7,98,86,FALSE
28.7,98,90,FALSE
28.7,98,90,FALSE
28.7,98,91,FALSE
28.7,98,91,FALSE
28.8,98,91,FALSE
28.7,98,91,FALSE
28.7,98,88,FALSE
28.7,98,88,FALSE
28.7,98,88,FALSE
28.7,98,88,FALSE
28.7,98,87,FALSE
28.7,98,87,FALSE
28.7,98,82,FALSE
28.7,98,82,FALSE
28.8,98,82,FALSE
28.8,98,82,FALSE
28.8,98,74,FALSE
28.8,98,74,FALSE
28.8,98,74,FALSE
28.8,98,76,FALSE
28.8,98,76,FALSE
28.8,98,82,FALSE
28.8,98,82,FALSE
28.8,98,83,FALSE
28.8,98,83,FALSE
28.8,98,83,FALSE
28.8,98,83,FALSE
28.8,98,83,FALSE
28.8,98,79,FALSE
28.8,98,79,FALSE
28.8,98,74,FALSE
28.8,98,71,FALSE
28.8,98,71,FALSE
28.8,98,70,FALSE
28.8,98,70,FALSE
28.8,98,70,FALSE
28.8,98,70,FALSE
28.8,98,72,FALSE
28.9,98,72,FALSE
28.9,98,77,FALSE
28.9,98,77,FALSE
28.9,98,81,FALSE
28.8,98,81,FALSE
28.8,98,81,FALSE
28.8,98,80,FALSE
28.8,98,79,FALSE
28.9,98,79,FALSE
28.9,98,79,FALSE
28.9,98,79,FALSE
28.9,98,79,FALSE
28.9,98,79,FALSE
28.9,97,79,FALSE
28.9,97,79,FALSE
28.9,97,79,FALSE
28.9,97,79,FALSE
28.9,97,79,FALSE
28.9,97,82,FALSE
28.9,97,82,FALSE
28.9,97,76,FALSE
28.9,97,76,FALSE
28.9,97,76,FALSE
28.9,97,76,FALSE
28.9,97,76,FALSE
28.9,97,80,FALSE
28.9,97,80,FALSE
28.9,97,82,FALSE
28.9,97,82,FALSE
28.9,97,82,FALSE
28.9,97,82,FALSE
28.9,97,77,FALSE
28.9,97,77,FALSE
28.9,97,70,FALSE
28.9,97,70,FALSE
28.9,97,70,FALSE
28.9,98,70,FALSE
28.9,98,71,FALSE
28.9,98,71,FALSE
28.9,98,76,FALSE
28.9,98,76,FALSE
28.9,98,76,FALSE
28.9,98,80,FALSE
28.9,98,82,FALSE
28.9,98,83,FALSE
28.9,98,84,FALSE
28.9,98,84,FALSE
28.9,98,84,FALSE
28.9,98,86,FALSE
28.9,98,86,FALSE
28.9,98,86,FALSE
28.8,98,86,FALSE
28.8,98,84,FALSE
28.8,98,78,FALSE
28.8,98,74,FALSE
28.7,98,74,FALSE
28.7,98,74,FALSE
28.7,98,72,FALSE
28.7,98,72,FALSE
28.7,98,72,FALSE
28.7,98,76,FALSE
28.7,97,76,FALSE
28.6,97,76,FALSE
28.6,97,78,FALSE
28.6,97,78,FALSE
28.6,97,78,FALSE
28.6,97,78,FALSE
28.6,97,79,FALSE
28.6,97,79,FALSE
28.5,97,79,FALSE
28.5,97,80,FALSE
28.5,97,80,FALSE
28.5,97,83,FALSE
28.5,97,83,FALSE
28.5,98,83,FALSE
28.5,98,84,FALSE
28.5,98,84,FALSE
28.4,98,84,FALSE
28.4,98,75,FALSE
28.4,98,75,TRUE
28.4,98,73,TRUE
28.4,98,73,TRUE
28.4,98,73,TRUE
28.3,98,73,TRUE
28.3,98,73,TRUE
28.4,98,73,TRUE
28.4,98,73,TRUE
28.4,98,73,TRUE
28.4,98,81,TRUE
28.4,98,82,TRUE
28.3,98,82,TRUE
28.3,98,82,TRUE
28.3,98,82,TRUE
28.3,98,82,TRUE
28.3,98,82,TRUE
28.3,98,82,TRUE
28.3,98,77,TRUE
28.3,98,72,TRUE
28.3,98,72,TRUE
28.3,98,72,TRUE
28.3,98,76,TRUE
28.3,98,76,TRUE
28.2,98,76,TRUE
28.2,98,83,TRUE
28.2,98,83,TRUE
28.2,98,83,TRUE
28.2,98,83,TRUE
28.1,98,83,TRUE
28.1,98,79,FALSE
28.1,98,79,FALSE
28.1,98,79,FALSE
28.1,98,79,FALSE
28.1,98,74,FALSE
28,98,74,FALSE
28,98,74,FALSE
28,98,78,FALSE
28,98,78,FALSE
28,98,80,FALSE
28,98,80,FALSE
28,98,80,FALSE
27.9,98,80,FALSE
27.9,98,78,FALSE
27.9,98,78,FALSE
27.9,98,76,FALSE
27.9,98,76,FALSE
27.9,98,73,FALSE
27.9,98,73,FALSE
27.9,98,73,FALSE
27.9,98,76,FALSE
27.8,98,76,FALSE
27.8,98,76,FALSE
27.8,98,76,FALSE
27.8,98,80,FALSE
27.8,98,81,FALSE
27.7,98,81,FALSE
27.7,98,81,FALSE
27.7,98,81,FALSE
27.7,98,84,FALSE
27.7,98,84,FALSE
27.7,98,84,FALSE
27.7,98,84,FALSE
27.7,98,87,FALSE
27.7,98,87,FALSE
27.7,98,91,FALSE
27.7,98,91,FALSE
27.7,98,94,FALSE
27.7,98,94,FALSE
27.7,98,96,FALSE
27.6,98,96,FALSE
27.6,98,96,FALSE
27.6,98,97,FALSE
27.6,98,97,FALSE
27.6,98,97,FALSE
27.6,98,97,FALSE
27.6,98,97,FALSE
27.6,98,96,FALSE
27.6,98,96,FALSE
27.6,98,94,FALSE
27.6,98,94,FALSE
27.6,98,93,FALSE
27.6,98,92,FALSE
27.6,98,93,FALSE
27.6,98,93,FALSE
27.6,98,94,FALSE
27.6,98,94,FALSE
27.6,98,94,FALSE
27.6,98,94,FALSE
27.6,98,94,FALSE
27.6,98,84,FALSE
27.6,98,84,FALSE
27.6,98,84,FALSE
27.6,98,84,FALSE
27.6,98,76,FALSE
27.5,98,76,FALSE
27.5,98,76,FALSE
27.5,98,76,FALSE
27.5,98,81,FALSE
27.5,98,81,FALSE
27.5,98,81,FALSE
27.5,98,88,FALSE
27.5,98,89,FALSE
27.5,98,89,FALSE
27.5,98,89,FALSE
27.5,98,89,FALSE
27.5,98,86,FALSE
27.5,98,86,FALSE
27.4,98,86,FALSE
27.4,97,86,FALSE
27.4,97,85,FALSE
27.4,97,85,FALSE
27.3,97,85,FALSE
27.3,97,85,FALSE
27.3,97,85,FALSE
27.3,97,89,FALSE
27.3,97,89,FALSE
27.3,97,87,FALSE
27.3,97,87,FALSE
27.3,97,80,FALSE
27.3,97,80,FALSE
27.3,97,81,FALSE
27.3,97,81,FALSE
27.3,97,81,FALSE
27.2,97,81,FALSE
27.2,97,81,FALSE
27.2,97,81,FALSE
27.2,97,83,FALSE
27.2,97,83,FALSE
27.2,97,83,FALSE
27.2,97,83,FALSE
27.2,97,83,FALSE
27.2,97,80,FALSE
27.2,97,80,FALSE
27.2,97,80,FALSE
27.1,97,80,FALSE
27.1,97,83,FALSE
27.1,98,83,FALSE
27.1,98,86,FALSE
27.1,98,86,FALSE
27.1,98,90,FALSE
27.1,98,90,FALSE
27.2,98,90,FALSE
27.2,98,90,FALSE
27.2,98,92,FALSE
27.2,98,92,FALSE
27.1,98,92,FALSE
27.1,98,92,FALSE
27.2,98,92,FALSE
27.2,98,92,FALSE
27.2,98,92,FALSE
27.2,98,94,FALSE
27.2,98,94,FALSE
27.2,98,94,FALSE
27.2,98,94,FALSE
27.2,98,95,FALSE
27.2,98,95,FALSE
27.1,98,95,FALSE
27.1,98,96,FALSE
27.1,98,96,FALSE
27.1,98,98,FALSE
27.1,98,99,FALSE
27.1,98,99,FALSE
27.1,98,99,FALSE
27.1,98,99,FALSE
27.1,98,99,FALSE
27.1,98,82,FALSE
27.1,98,80,FALSE
27.1,98,94,FALSE
27.1,98,94,FALSE
27.1,98,94,FALSE
27.1,97,94,FALSE
27.1,97,96,FALSE
27,97,96,FALSE
27,97,98,FALSE
27,97,98,FALSE
27,97,98,FALSE
27,97,99,FALSE
27,97,99,FALSE
27,97,97,FALSE
27,97,94,FALSE
27,97,94,FALSE
26.9,97,94,FALSE
26.9,97,93,FALSE
26.9,97,93,FALSE
26.9,97,94,FALSE
26.9,97,94,FALSE
26.9,97,98,FALSE
26.9,97,98,FALSE
26.9,97,98,FALSE
26.9,97,101,FALSE
26.9,97,101,FALSE
26.9,97,101,FALSE
26.9,97,103,FALSE
26.9,97,103,FALSE
26.9,97,99,FALSE
26.9,97,94,FALSE
26.8,97,94,FALSE
26.8,97,94,FALSE
26.8,97,97,FALSE
26.8,97,99,FALSE
26.8,98,99,FALSE
26.8,98,99,FALSE
26.8,98,99,FALSE
26.8,98,95,FALSE
26.8,98,95,FALSE
26.8,98,93,FALSE
26.8,98,93,FALSE
26.8,98,95,TRUE
26.8,98,96,TRUE
26.8,98,96,TRUE
26.8,98,96,TRUE
26.8,98,96,TRUE
26.8,98,96,TRUE
26.8,98,96,TRUE
26.8,98,96,TRUE
26.8,98,98,TRUE
26.8,98,98,TRUE
26.8,98,98,TRUE
26.8,98,97,TRUE
26.8,98,97,TRUE
26.8,98,94,TRUE
26.8,98,94,TRUE
26.8,98,97,TRUE
26.8,98,97,TRUE
26.8,98,99,TRUE
26.8,98,100,TRUE
26.8,98,100,TRUE
26.8,98,100,TRUE
26.8,98,100,TRUE
26.8,98,100,TRUE
26.8,98,100,TRUE
26.8,98,102,TRUE
26.7,98,102,TRUE
26.7,98,102,TRUE
26.8,98,102,TRUE
26.8,98,102,TRUE
26.8,98,101,TRUE
26.8,98,101,TRUE
26.7,98,101,FALSE
26.7,98,100,FALSE
26.7,98,99,FALSE
26.7,98,97,FALSE
26.7,98,97,FALSE
26.7,98,97,FALSE
26.7,98,97,FALSE
26.7,98,96,FALSE
26.7,98,96,FALSE
26.7,98,96,FALSE
26.8,98,96,FALSE
26.8,98,93,FALSE
26.8,98,93,FALSE
26.8,98,93,FALSE
26.7,98,93,FALSE
26.7,98,80,FALSE
26.7,98,80,FALSE
26.7,98,80,FALSE
26.7,97,80,FALSE
26.7,97,80,FALSE
26.7,97,76,FALSE
26.7,97,76,FALSE
26.7,97,89,FALSE
26.6,97,89,FALSE
26.6,97,97,FALSE
26.6,97,97,FALSE
26.6,97,96,FALSE
26.6,97,96,FALSE
26.6,97,91,FALSE
26.6,97,91,FALSE
26.8,97,91,FALSE
26.8,97,84,FALSE
26.8,97,84,FALSE
26.7,97,84,FALSE
26.7,97,84,FALSE
26.7,97,81,FALSE
26.7,97,81,FALSE
26.7,97,81,FALSE
26.7,97,81,FALSE
26.6,97,81,FALSE
26.6,98,81,FALSE
26.6,98,84,FALSE
26.7,98,84,FALSE
26.7,97,84,FALSE
26.7,97,89,FALSE
26.7,98,89,FALSE
26.7,98,89,FALSE
26.6,98,89,FALSE
26.6,97,89,FALSE
26.6,97,89,FALSE
26.6,97,89,FALSE
26.7,97,89,FALSE
26.7,97,89,FALSE
26.7,97,88,FALSE
26.7,97,88,FALSE
26.7,97,88,FALSE
26.7,97,88,FALSE
26.7,97,92,FALSE
26.7,97,92,FALSE
26.7,97,92,FALSE
26.7,97,92,FALSE
26.7,97,90,FALSE
26.7,97,90,FALSE
26.7,97,85,FALSE
26.7,97,85,FALSE
26.8,97,85,FALSE
26.8,97,85,FALSE
26.8,97,85,FALSE
26.7,97,85,FALSE
26.7,97,85,FALSE
26.7,97,85,FALSE
26.7,98,85,FALSE
26.8,98,85,FALSE
26.8,98,88,FALSE
26.8,98,88,FALSE
26.8,98,88,FALSE
26.8,98,87,FALSE
26.7,98,87,FALSE
26.7,98,87,FALSE
26.7,98,87,FALSE
26.7,98,87,FALSE
26.7,98,81,FALSE
26.7,98,81,FALSE
26.8,98,81,FALSE
26.8,98,81,FALSE
26.8,98,69,FALSE
26.8,98,69,FALSE
26.8,98,69,FALSE
26.8,98,69,FALSE
26.8,98,72,FALSE
26.8,98,72,FALSE
26.8,98,75,FALSE
26.8,98,75,FALSE
26.8,98,75,FALSE
26.8,98,75,FALSE
26.8,98,79,FALSE
26.8,98,79,FALSE
26.8,98,83,FALSE
26.8,98,83,FALSE
26.8,98,85,FALSE
26.7,98,85,FALSE
26.7,98,85,FALSE
26.8,98,85,FALSE
26.8,98,88,FALSE
26.7,98,88,FALSE
26.7,98,88,FALSE
26.7,98,89,FALSE
26.7,98,89,FALSE
26.7,98,89,FALSE
26.8,98,89,FALSE
26.8,98,89,FALSE
26.8,98,89,FALSE
26.8,98,89,FALSE
26.8,98,89,FALSE
26.8,98,89,FALSE
26.8,97,89,FALSE
26.8,98,89,FALSE
26.7,98,89,FALSE
26.8,98,89,FALSE
26.8,98,89,FALSE
26.8,98,88,FALSE
26.8,98,88,FALSE
26.8,98,86,FALSE
26.6,98,86,FALSE
26.6,98,86,FALSE
26.8,98,86,FALSE
26.8,98,83,FALSE
26.8,97,83,FALSE
26.8,97,83,FALSE
26.7,97,83,FALSE
26.7,97,83,FALSE
26.7,97,86,FALSE
26.7,97,86,FALSE
26.8,97,86,FALSE
26.8,97,93,FALSE
26.8,97,95,FALSE
26.8,97,95,FALSE
26.8,97,95,FALSE
26.8,97,95,FALSE
26.7,97,95,FALSE
26.7,97,86,FALSE
26.7,97,86,FALSE
26.7,97,86,FALSE
26.7,97,86,FALSE
26.7,97,75,FALSE
26.7,97,75,FALSE
26.7,97,75,FALSE
26.8,97,75,FALSE
26.8,97,75,FALSE
26.8,97,75,FALSE
26.8,97,77,FALSE
26.7,97,77,FALSE
26.7,97,77,FALSE
26.8,97,77,FALSE
26.8,97,77,FALSE
26.7,97,77,FALSE
26.7,97,77,FALSE
26.7,97,84,FALSE
26.7,97,84,FALSE
26.7,97,84,FALSE
26.7,97,84,FALSE
26.7,97,85,FALSE
26.7,97,85,FALSE
26.7,98,85,FALSE
26.7,98,84,FALSE
26.7,98,84,FALSE
26.7,98,84,FALSE
26.7,98,84,FALSE
26.7,98,85,FALSE
26.7,98,85,FALSE
26.7,98,85,FALSE
26.7,98,82,FALSE
26.7,97,82,FALSE
26.7,97,80,FALSE
26.7,97,80,FALSE
26.7,97,80,FALSE
26.7,97,80,FALSE
26.7,97,80,FALSE
26.7,97,85,FALSE
26.7,97,87,FALSE
26.6,97,87,FALSE
26.6,97,85,FALSE
26.7,97,85,FALSE
26.7,97,85,FALSE
26.7,97,88,FALSE
26.7,98,88,FALSE
26.7,98,89,FALSE
26.7,98,89,FALSE
26.7,98,90,FALSE
26.8,98,90,FALSE
26.8,98,90,FALSE
26.7,98,90,FALSE
26.7,98,89,FALSE
26.7,98,89,FALSE
26.7,98,89,FALSE
26.7,98,88,FALSE
26.8,98,88,FALSE
26.8,98,87,FALSE
26.7,98,87,TRUE
26.7,98,89,TRUE
26.7,98,89,TRUE
26.7,98,92,TRUE
26.7,98,94,TRUE
26.7,98,94,TRUE
26.7,98,94,TRUE
26.7,98,93,TRUE
26.7,98,92,TRUE
26.7,98,92,TRUE
26.7,97,92,TRUE
26.8,97,92,TRUE
26.8,97,91,TRUE
26.8,97,89,TRUE
26.8,97,89,TRUE
26.7,97,89,TRUE
26.7,97,88,TRUE
26.7,97,88,TRUE
26.8,97,88,TRUE
26.8,97,84,TRUE
26.8,97,84,TRUE
26.8,97,84,TRUE
26.8,97,79,TRUE
26.8,97,79,TRUE
26.8,97,79,TRUE
26.8,97,81,TRUE
26.8,97,81,TRUE
26.7,97,81,TRUE
26.7,98,81,TRUE
26.7,98,83,TRUE
26.7,98,83,FALSE
26.7,98,83,FALSE
26.7,98,83,FALSE
26.7,98,81,FALSE
26.7,98,81,FALSE
26.7,98,80,FALSE
26.7,98,78,FALSE
26.7,98,78,FALSE
26.7,98,76,FALSE
26.7,98,76,FALSE
26.7,98,77,FALSE
26.7,98,77,FALSE
26.7,98,77,FALSE
26.7,98,79,FALSE
26.7,98,80,FALSE
26.7,98,81,FALSE
26.7,98,81,FALSE
26.7,98,81,FALSE
26.7,98,81,FALSE
26.7,98,71,FALSE
26.7,98,71,FALSE
26.7,98,71,FALSE
26.7,98,71,FALSE
26.7,98,71,FALSE
26.7,98,71,FALSE
26.7,98,71,FALSE
26.7,98,71,FALSE
26.7,98,81,FALSE
26.7,98,81,FALSE
26.7,98,81,FALSE
26.7,98,81,FALSE
26.7,98,82,FALSE
26.7,98,82,FALSE
26.7,98,80,FALSE
26.7,98,80,FALSE
26.7,98,76,FALSE
26.7,98,76,FALSE
26.7,98,76,FALSE
26.7,98,73,FALSE
26.8,98,73,FALSE
26.7,98,73,FALSE
26.7,98,73,FALSE
26.7,98,68,FALSE
26.7,98,68,FALSE
26.7,98,68,FALSE
26.7,98,68,FALSE
26.7,98,73,FALSE
26.7,98,79,FALSE
26.7,98,79,FALSE
26.8,98,79,FALSE
26.8,98,83,FALSE
26.8,98,84,FALSE
26.8,98,84,FALSE
26.7,98,84,FALSE
26.7,98,84,FALSE
26.7,98,82,FALSE
26.7,97,82,FALSE
26.7,97,82,FALSE
26.7,97,81,FALSE
26.8,97,81,FALSE
26.8,97,81,FALSE
26.8,97,81,FALSE
26.8,97,81,FALSE
26.8,97,80,FALSE
26.8,97,80,FALSE
26.8,97,80,FALSE
26.8,97,80,FALSE
26.8,97,84,FALSE
26.8,97,88,FALSE
26.7,97,88,FALSE
26.7,97,88,FALSE
26.7,97,88,FALSE
26.8,97,88,FALSE
26.8,97,84,FALSE
26.8,97,82,FALSE
26.8,97,82,FALSE
26.7,97,82,FALSE
26.7,97,82,FALSE
26.7,98,82,FALSE
26.7,98,85,FALSE
26.8,98,85,FALSE
26.7,98,85,FALSE
26.7,98,85,FALSE
26.7,98,85,FALSE
26.8,98,85,FALSE
26.8,98,85,FALSE
