iter	Logloss
0	0.6683111026
1	0.6477723284
2	0.6274193616
3	0.6094135875
4	0.5925223817
5	0.5756245657
6	0.5605394739
7	0.5464008294
8	0.5332944283
9	0.5198889578
10	0.5079867348
11	0.4983714775
12	0.4886244868
13	0.4797475684
14	0.4720266155
15	0.4642948008
16	0.456541155
17	0.4501699099
18	0.4438411487
19	0.4380608949
20	0.432940214
21	0.4272080979
22	0.4219307554
23	0.416998631
24	0.4127831964
25	0.4089941494
26	0.4054266532
27	0.4014345541
28	0.3983666353
29	0.3953658844
30	0.3926326984
31	0.3898190518
32	0.3870664757
33	0.3846037863
34	0.3817698103
35	0.3790954697
36	0.3764490762
37	0.3744046743
38	0.372606288
39	0.3709677052
40	0.3693930744
41	0.3677413899
42	0.3658741946
43	0.3647008463
44	0.3635834691
45	0.362186608
46	0.3609321157
47	0.3598133194
48	0.3588249328
49	0.3577426842
50	0.356314389
51	0.3552072615
52	0.3541920552
53	0.3533226761
54	0.3527726873
55	0.3522187241
56	0.3506526888
57	0.3494901852
58	0.3488530256
59	0.3482241429
60	0.3479262648
61	0.3472011786
62	0.3466235991
63	0.3458499828
64	0.3455142462
65	0.3450746169
66	0.3443112237
67	0.343150476
68	0.3424619336
69	0.3422261714
70	0.3419336344
71	0.3412601402
72	0.3408616739
73	0.3404132763
74	0.3397467969
75	0.3392814037
76	0.3389314195
77	0.3387240386
78	0.3380248697
79	0.3371319955
80	0.3367189135
81	0.3362631606
82	0.3360846697
83	0.3355699459
84	0.3353423962
85	0.335193776
86	0.334448562
87	0.3340672914
88	0.3337867371
89	0.3334774678
90	0.3331584806
91	0.3328246155
92	0.3323691332
93	0.3318168006
94	0.3315686529
95	0.3313138502
96	0.3310254643
97	0.330877726
98	0.3303867094
99	0.3301633496
100	0.3298571765
101	0.3295851989
102	0.3293104715
103	0.3290689868
104	0.3283155354
105	0.3280474057
106	0.3276832426
107	0.3271652603
108	0.3267855091
109	0.3267114028
110	0.3266108791
111	0.3265879493
112	0.3264462317
113	0.3263577124
114	0.3260067272
115	0.3257233627
116	0.3253771867
117	0.3251082369
118	0.3248123673
119	0.3246270372
120	0.3237205529
121	0.323370075
122	0.3232505787
123	0.3228845871
124	0.3224302006
125	0.3221942875
126	0.3220836083
127	0.3217495442
128	0.3215833224
129	0.3208839496
130	0.3204701211
131	0.3202660238
132	0.3201039639
133	0.3199845326
134	0.3197603186
135	0.3193165796
136	0.3191754606
137	0.3188429712
138	0.3181973808
139	0.3177442909
140	0.3174611055
