iter	Passed	Remaining
0	6	6540
1	10	5188
2	15	5106
3	20	5206
4	25	5155
5	30	5096
6	36	5155
7	41	5176
8	46	5116
9	51	5088
10	56	5103
11	60	5007
12	71	5425
13	79	5568
14	89	5876
15	96	5931
16	101	5864
17	105	5768
18	110	5722
19	115	5671
20	120	5607
21	125	5569
22	130	5528
23	135	5493
24	139	5441
25	144	5415
26	149	5386
27	154	5348
28	158	5323
29	163	5297
30	168	5267
31	173	5237
32	178	5223
33	183	5200
34	187	5176
35	192	5158
36	197	5140
37	202	5125
38	207	5116
39	212	5103
40	217	5092
41	222	5079
42	228	5075
43	232	5061
44	237	5046
45	242	5028
46	248	5036
47	254	5041
48	259	5036
49	264	5031
50	269	5014
51	274	5008
52	279	4995
53	285	4994
54	290	4996
55	296	5004
56	302	5012
57	309	5026
58	315	5027
59	321	5037
60	326	5021
61	331	5019
62	336	5010
63	342	5014
64	349	5029
65	356	5038
66	362	5048
67	368	5049
68	373	5042
69	378	5028
70	384	5033
71	390	5039
72	396	5038
73	402	5033
74	407	5023
75	412	5015
76	417	5010
77	424	5017
78	430	5016
79	435	5011
80	440	5003
81	446	4993
82	452	4995
83	457	4989
84	462	4979
85	467	4971
86	473	4969
87	479	4971
88	485	4973
89	491	4972
90	498	4975
91	503	4967
92	508	4959
93	514	4962
94	520	4955
95	526	4955
96	532	4958
97	538	4953
98	544	4958
99	551	4961
100	557	4962
101	562	4955
102	567	4945
103	574	4946
104	580	4949
105	587	4954
106	592	4947
107	598	4940
108	603	4936
109	609	4932
110	615	4930
111	621	4924
112	627	4925
113	632	4917
114	638	4914
115	644	4912
116	650	4907
117	657	4911
118	662	4905
119	668	4901
120	673	4893
121	678	4884
122	684	4879
123	689	4874
124	696	4873
125	702	4871
126	707	4860
127	713	4858
128	719	4856
129	724	4851
130	731	4851
131	737	4849
132	744	4851
133	750	4850
134	755	4843
135	760	4832
136	766	4825
137	771	4820
138	777	4816
139	782	4808
140	788	4801
141	793	4792
142	798	4786
143	804	4780
144	809	4772
145	814	4767
146	820	4762
147	826	4758
148	831	4750
149	837	4748
150	843	4741
151	848	4736
152	854	4731
153	861	4732
154	867	4727
155	872	4722
156	878	4715
157	883	4708
158	889	4702
159	894	4696
160	900	4690
161	906	4690
162	913	4688
163	918	4681
164	924	4679
165	929	4672
166	936	4669
167	941	4661
168	947	4659
169	954	4658
170	960	4654
171	966	4652
172	971	4645
173	977	4640
174	982	4633
175	988	4627
176	993	4619
177	998	4610
178	1003	4602
179	1009	4599
180	1015	4596
181	1023	4597
182	1029	4596
183	1036	4594
184	1041	4589
185	1048	4588
186	1053	4580
187	1059	4574
188	1064	4569
189	1070	4563
190	1077	4564
191	1083	4560
192	1090	4560
193	1096	4556
194	1101	4547
195	1106	4539
196	1111	4529
197	1117	4525
198	1123	4521
199	1128	4513
200	1133	4507
201	1140	4504
202	1146	4502
203	1152	4495
204	1159	4494
205	1164	4487
206	1170	4482
207	1175	4474
208	1180	4468
209	1186	4462
210	1192	4458
211	1198	4455
212	1204	4448
213	1209	4442
214	1215	4439
215	1221	4434
216	1229	4435
217	1235	4431
218	1241	4426
